Suggested,Sugjeruar
Products,Produktet
Product Name,Emri i produktit
SKU,SKU
Product Image,Imazhi i produktit
Reviews Rating,Vlerësimi i komenteve
Short Description,Përshkrim i shkurtër
Description,Përshkrim
Price,Çmimi
Add to Cart Button,Butoni Shto në Shportë
Category,Kategoria
Add New Category,Shto kategori të re
Import Categories,Kategoritë e importit
Import Comments,Importoni komente
All Authors,Të gjithë Autorët
All Categories,Të gjitha kategoritë
Start Import,Filloni importin
NOTICE,NJOFTIM
Database Name,Emri i bazës së të dhënave
User Name,Emri i përdoruesit
Password,Fjalëkalimi
Database Host,Pritësi i bazës së të dhënave
Table Prefix,Prefiksi i tabelës
Store View,Pamja e dyqanit
Post,Posto
Add New Post,Shto postim të ri
Import Posts,Importoni postime
"Images (.gif, .jpg, .png)","Imazhet (.gif, .jpg, .png)"
Add New Images,Shto imazhe të reja
Tag,Etiketë
Add New Tag,Shto etiketë të re
Import Tags,Etiketat e importit
Monthly Archives: %s %s,Arkivat mujore: %s %s
Home,Shtëpi
Go to Home Page,Shkoni te Faqja kryesore
Page,Faqe
"Search ""%1""","Kërko ""%1"""
Featured Blog Posts,Postime të veçuara në blog
Recent Blog Posts,Postimet e fundit në blog
Blog import type is not specified.,Lloji i importimit të blogut nuk është specifikuar.
Blog Import from %1 Blog,Importimi i blogut nga %1 Blogu
Something went wrong:,Dicka shkoi keq:
Blog Import,Importi i blogut
The import process was completed successfully.,
"%1 posts, %2 categories, %3 tags and %4 comments where imported.",Procesi i importit përfundoi me sukses.
"%1 postime, %2 kategori, %3 etiketa dhe %4 komente u importuan.",
"The import process completed. %1 posts, %2 categories, %3 tags and %4 comments where imported.",
Some posts or categories or tags or comments where skipped. %5 %6 %7 %8,"Procesi i importit ka përfunduar. %1 postime, %2 kategori, %3 etiketa dhe %4 komente u importuan."
Disa postime ose kategori ose etiketa ose komente janë anashkaluar. %5 %6 %7 %8,
Nothing to import.,Asgjë për të importuar.
Can not make import.,Nuk mund të bëjë import.
Something went wrong %1,Diçka shkoi keq %1
Please enter your name and email,Ju lutemi shkruani emrin dhe emailin tuaj
Login to submit comment,Identifikohu për të paraqitur koment
You cannot post comment. Blog post is not longer exist.,Ju nuk mund të postoni koment. Postimi në blog nuk ekziston më.
You cannot reply to this comment. Comment is not longer exist.,Ju nuk mund t'i përgjigjeni këtij komenti. Komenti nuk ekziston më.
You cannot reply to this comment.,Ju nuk mund t'i përgjigjeni këtij komenti.
You submitted your comment for moderation.,Ju dërguat komentin tuaj për moderim.
Thank you for your comment.,Faleminderit per komentin tuaj.
Database connection error,Gabim i lidhjes së bazës së të dhënave
Unable to save item,Artikulli nuk mund të ruhet
Requested item doesn't exist,Artikulli i kërkuar nuk ekziston
Unable to remove item,Artikulli nuk mund të hiqet
Disabled,I paaftë
Enabled,Aktivizuar
Duplicated,E dyfishuar
Comment text is too short.,Teksti i komentit është shumë i shkurtër.
"Some blog comments are pending for approval. <a href=""%1"">Manage Comments</a>.","Disa komente në blog janë në pritje për miratim. <a href=""%1"">Menaxho komentet</a> ."
Please select,Ju lutem zgjidhni
Guest,I ftuar
Customer,Klienti
Admin,Admin
All Blog Pages,Të gjitha faqet e blogut
Blog Index Page,Faqja e indeksit të blogut
Blog Post Page,Faqja e postimit në blog
Blog Category Page,Faqja e kategorisë së blogut
Blog Author Page,Faqja e autorit të blogut
Blog Archive Page,Faqja e arkivit të blogut
Blog Tag Page,Faqja e etiketës së blogut
Posts (default),Postimet (e parazgjedhur)
Posts Links,Lidhjet e postimeve
Subcategories Links,Lidhjet e nënkategorive
Posts & Subcategories Links,Postimet dhe nënkategoritë Lidhje
Pending,Në pritje
Approved,Miratuar
Not Approved,I pa miratuar
Use Magefan Blog Comments,Përdorni komentet e blogut Magefan
Use Facebook Comments,Përdorni komentet në Facebook
Use Disqus Comments,Përdorni komentet e Disqus
No,Nr
Yes (With auto trigger),Po (Me ndezës automatik)
Yes (Without auto trigger),Po (Pa ndezës automatik)
Default: mystore.com/{blog_route}/{post_route}/post-title/,Parazgjedhja: mystore.com/{blog_route}/{post_route}/post-title/
Short: mystore.com/{blog_route}/post-title/,Shkurt: mystore.com/{blog_route}/post-title/
Publish Date (default),Data e publikimit (e parazgjedhur)
Position,Pozicioni
Title,Titulli
Something went wrong while saving the file(s).,Ndodhi një gabim gjatë ruajtjes së skedarit(ve).
Parameter %1 is required,Kërkohet parametri %1
AheadWorks Blog Extension not detected.,Shtesa e blogut AheadWorks nuk u zbulua.
Mageplaza Blog Extension not detected.,Zgjerimi i blogut Mageplaza nuk u zbulua.
Unable to determine blog entity ID.,ID-ja e entitetit të blogut nuk mund të përcaktohet.
'Unable to load blog attribute %1.' .,'Nuk mund të ngarkohet atributi %1 i blogut.' .
Mirasvit Blog Extension not detected.,Zgjerimi i Blogut Mirasvit nuk u zbulua.
The category URL key contains disallowed symbols.,Tasti i kategorisë URL përmban simbole të ndaluara.
The category URL key cannot be made of only numbers.,Çelësi i kategorisë URL nuk mund të përbëhet vetëm nga numra.
URL key is already in use by another blog item.,Çelësi URL është tashmë në përdorim nga një artikull tjetër i blogut.
The post URL key contains disallowed symbols.,Çelësi i URL-së së postimit përmban simbole të ndaluara.
The post URL key cannot be made of only numbers.,Çelësi i URL-së së postimit nuk mund të përbëhet vetëm nga numra.
The tag is already exist.,Etiketa ekziston tashmë.
The tag URL key contains disallowed symbols.,Tasti i URL-së së etiketës përmban simbole të ndaluara.
The tag URL key cannot be made of only numbers.,Tasti i URL-së së etiketës nuk mund të përbëhet vetëm nga numra.
"Magefan Blog is disabled, to enable the extension please navigate to",
"<a href=""%1"" target=""_blank"">Stores > Configuration > Magefan Extensions > Blog</a>.","Magefan Blog është i çaktivizuar, për të aktivizuar shtesën, lundroni te <a href=""%1"" target=""_blank"">Dyqanet &gt; Konfigurimi &gt; Shtesat Magefan &gt; Blog</a> ."
Magefan Blog <strong>Product Key</strong> is missing.,
Blog Extension will be automatically disabled soon. Please specify the product key in,
"<a href=""%1"" target=""_blank"">Stores > Configuration > Magefan Extensions > Blog</a>.","Çelësi i <strong>produktit të</strong> blogut Magefan mungon. Zgjerimi i blogut do të çaktivizohet automatikisht së shpejti. Ju lutemi specifikoni çelësin e produktit te <a href=""%1"" target=""_blank"">Dyqanet &gt; Konfigurimi &gt; Zgjatjet Magefan &gt; Blog</a> ."
"Possible conflict. If you have problems with the module Magefan Blog, try to disable the following modules: %1. To disable module please run following command in the Magento root directory: bin/magento module:disable Vendor_ModuleName","Konflikt i mundshëm. Nëse keni probleme me modulin Magefan Blog, përpiquni të çaktivizoni modulet e mëposhtme: %1. Për të çaktivizuar modulin, ekzekutoni komandën e mëposhtme në direktorinë rrënjësore të Magento: moduli bin/magento: çaktivizoni Vendor_ModuleName"
Leave a review about the blog extension,Lini një koment për zgjerimin e blogut
Nead a new blog feature?,Keni nevojë për një veçori të re të blogut?
